Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Bahrain,BHR,1999,2.8826935
Bahrain,BHR,2000,2.9758735
Bahrain,BHR,2001,8.965924
Bahrain,BHR,2002,13.605474
Bahrain,BHR,2003,16.250586
Bahrain,BHR,2004,11.339195
Bahrain,BHR,2005,11.363337
Bahrain,BHR,2006,12.955465
Bahrain,BHR,2007,11.832057
Bahrain,BHR,2008,17.586363
Bahrain,BHR,2009,20.482906
Bahrain,BHR,2010,6.0276055
Bahrain,BHR,2011,11.41317
Bahrain,BHR,2012,11.352442
Bahrain,BHR,2013,9.961102
Bahrain,BHR,2014,5.4860325
Barbados,BRB,1960,64.37737
Barbados,BRB,1961,70.30015
Barbados,BRB,1962,52.365288
Barbados,BRB,1963,45.894875
Barbados,BRB,1964,47.063152
Barbados,BRB,1966,54.628117
Barbados,BRB,1967,44.30263
Barbados,BRB,1968,41.586617
Barbados,BRB,1969,56.62588
Barbados,BRB,1970,54.99089
Barbados,BRB,1971,56.774677
Barbados,BRB,1972,66.362785
Barbados,BRB,1973,64.14989
Barbados,BRB,1974,51.02296
Barbados,BRB,1975,50.575356
Barbados,BRB,1976,67.66219
Barbados,BRB,1977,59.42221
Barbados,BRB,1978,43.671078
Barbados,BRB,1979,39.209984
Barbados,BRB,1980,22.775204
Barbados,BRB,1981,27.913734
Barbados,BRB,1982,19.815908
Barbados,BRB,1983,22.22594
Barbados,BRB,1984,19.494005
Barbados,BRB,1985,24.069958
Barbados,BRB,1986,21.196497
Barbados,BRB,1987,20.765753
Barbados,BRB,1988,18.658518
Barbados,BRB,1989,15.276352
Barbados,BRB,1990,19.092354
Barbados,BRB,1991,14.027122
Barbados,BRB,1992,14.575119
Barbados,BRB,1993,13.261939
Barbados,BRB,1994,13.169625
Barbados,BRB,1995,25.019083
Barbados,BRB,2000,21.666842
Barbados,BRB,2001,13.656401
Barbados,BRB,2002,21.117743
Barbados,BRB,2003,30.619322
Barbados,BRB,2004,21.892145
Barbados,BRB,2005,36.14348
Barbados,BRB,2006,27.393486
Barbados,BRB,2007,31.16099
Barbados,BRB,2008,28.250862
Barbados,BRB,2009,19.341982
Barbados,BRB,2010,22.293509
Barbados,BRB,2011,23.161041
Barbados,BRB,2012,24.522655
Barbados,BRB,2013,20.821543
Belarus,BLR,1981,14.287238
Belarus,BLR,1982,11.884936
Belarus,BLR,1985,10.73806
Belarus,BLR,1986,8.449617
Belarus,BLR,1987,7.8568068
Belarus,BLR,1988,8.728044
Belarus,BLR,1989,7.2175784
Belarus,BLR,1990,7.2579517
Belarus,BLR,1991,7.6242857
Belarus,BLR,1992,7.159445
